GM18505_PRO-cap GSM3004645
GM19239_PRO-cap GSM3004646
GM19099_PRO-cap GSM3004647
GM18520_PRO-cap GSM3004648
GM18522_PRO-cap GSM3004649
GM19222_PRO-cap GSM3004650
GM18517_PRO-cap GSM3004651
GM19131_PRO-cap GSM3004652
GM19238_PRO-cap GSM3004653
GM19193_PRO-cap GSM3004654
GM18502_PRO-cap GSM3004655
GM18507_PRO-cap GSM3004656
GM18852_PRO-cap GSM3004657
GM18486_PRO-cap GSM3004658
GM18499_PRO-cap GSM3004659
GM18861_PRO-cap GSM3004660
GM18510_PRO-cap GSM3004661
GM18516_PRO-cap GSM3004662
GM18858_PRO-cap GSM3004663
GM18855_PRO-cap GSM3004664
GM18870_PRO-cap GSM3004665
GM18909_PRO-cap GSM3004666
GM19098_PRO-cap GSM3004667
GM19130_PRO-cap GSM3004668
GM19114_PRO-cap GSM3004669
GM19119_PRO-cap GSM3004670
GM19171_PRO-cap GSM3004671
GM19138_PRO-cap GSM3004672
GM19092_PRO-cap GSM3004673
GM18913_PRO-cap GSM3004674
GM19201_PRO-cap GSM3004675
GM19192_PRO-cap GSM3004676
GM19210_PRO-cap GSM3004677
GM19141_PRO-cap GSM3004678
GM19159_PRO-cap GSM3004679
GM19152_PRO-cap GSM3004680
GM19207_PRO-cap GSM3004681
GM19144_PRO-cap GSM3004682
GM19225_PRO-cap GSM3004683
GM19204_PRO-cap GSM3004684
GM18511_PRO-cap GSM3004685
GM18856_PRO-cap GSM3004686
GM18859_PRO-cap GSM3004687
GM18508_PRO-cap GSM3004688
GM18853_PRO-cap GSM3004689
GM18519_PRO-cap GSM3004690
GM18504_PRO-cap GSM3004691
GM18862_PRO-cap GSM3004692
GM18501_PRO-cap GSM3004693
GM18912_PRO-cap GSM3004694
GM19143_PRO-cap GSM3004695
GM18916_PRO-cap GSM3004696
GM19127_PRO-cap GSM3004697
GM19140_PRO-cap GSM3004698
GM19137_PRO-cap GSM3004699
GM18907_PRO-cap GSM3004700
GM19093_PRO-cap GSM3004701
GM19101_PRO-cap GSM3004702
GM19116_PRO-cap GSM3004703
GM19190_PRO-cap GSM3004704
GM19160_PRO-cap GSM3004705
GM19206_PRO-cap GSM3004706
GM19257_PRO-cap GSM3004707
GM19203_PRO-cap GSM3004708
GM19200_PRO-cap GSM3004709
GM19209_PRO-cap GSM3004710
GM19147_PRO-cap GSM3004711
GM19153_PRO-cap GSM3004712
GM19223_PRO-cap GSM3004713
GM18505_PRO-seq GSM3004714
GM18517_PRO-seq GSM3004715
GM18520_PRO-seq GSM3004716
GM18522_PRO-seq GSM3004717
GM19099_PRO-seq GSM3004718
GM19131_PRO-seq GSM3004719
GM19193_PRO-seq GSM3004720
GM19222_PRO-seq GSM3004721
GM19238_PRO-seq GSM3004722
GM19239_PRO-seq GSM3004723
